# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_DEVICE 0 GeForce GT 525M
# CUDA_CONTEXT 1
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 128a071cfd3ca85f
timestamp;gpustarttimestamp;gpuendtimestamp;method;gputime;cputime;gridsizeX;gridsizeY;threadblocksizeX;threadblocksizeY;threadblocksizeZ;dynsmemperblock;stasmemperblock;regperthread;occupancy;memtransfersize;memtransferdir;memtransferhostmemtype
3716.033;128a9a8765cdeb60;128a9a8765cdee80;memcpyHtoD;0.800;9.408;;;;;;;;;;4;1;0
3858.004;128a9a8765cfeec0;128a9a8765cff1c0;memcpyHtoD;0.768;5.559;;;;;;;;;;4;1;0
3982.014;128a9a8765d1d200;128a9a8765d1d4e0;memcpyHtoD;0.736;5.559;;;;;;;;;;8;1;0
4104.314;128a9a8765d3ad40;128a9a8765d3b040;memcpyHtoD;0.768;5.131;;;;;;;;;;4;1;0
4227.042;128a9a8765d585e0;128a9a8765d58900;memcpyHtoD;0.800;5.559;;;;;;;;;;4;1;0
4348.486;128a9a8765d76680;128a9a8765d76980;memcpyHtoD;0.768;5.559;;;;;;;;;;4;1;0
4481.476;128a9a8765d93920;128a9a8765d93c20;memcpyHtoD;0.768;6.414;;;;;;;;;;4;1;0
4590.948;128a9a8765dae8c0;128a9a8765daebc0;memcpyHtoD;0.768;5.559;;;;;;;;;;8;1;0
4700.847;128a9a8765dd7d40;128a9a8765dd8040;memcpyHtoD;0.768;8.552;;;;;;;;;;8;1;0
4865.481;128a9a8765deea40;128a9a8765deed40;memcpyHtoD;0.768;5.559;;;;;;;;;;8;1;0
4957.419;128a9a8765e04f80;128a9a8765e052a0;memcpyHtoD;0.800;5.559;;;;;;;;;;8;1;0
5048.931;128a9a8765e1b360;128a9a8765e1b660;memcpyHtoD;0.768;5.559;;;;;;;;;;8;1;0
5140.014;128a9a8765e31800;128a9a8765e31b00;memcpyHtoD;0.768;5.559;;;;;;;;;;8;1;0
5230.670;128a9a8765e479c0;128a9a8765e47cc0;memcpyHtoD;0.768;5.559;;;;;;;;;;8;1;0
5321.753;128a9a8765e5dc60;128a9a8765e5df60;memcpyHtoD;0.768;5.559;;;;;;;;;;8;1;0
5412.409;128a9a8765e73ee0;128a9a8765e741e0;memcpyHtoD;0.768;5.559;;;;;;;;;;8;1;0
5507.769;128a9a8765e8b520;128a9a8765e8b840;memcpyHtoD;0.800;6.414;;;;;;;;;;8;1;0
5598.852;128a9a8765ea4dc0;128a9a8765ea50c0;memcpyHtoD;0.768;5.987;;;;;;;;;;8;1;0
5704.047;128a9a8765ebb140;128a9a8765ebb440;memcpyHtoD;0.768;5.559;;;;;;;;;;8;1;0
5795.131;128a9a8765ed1620;128a9a8765ed1920;memcpyHtoD;0.768;5.559;;;;;;;;;;8;1;0
5886.214;128a9a8765ee79e0;128a9a8765ee7ce0;memcpyHtoD;0.768;5.559;;;;;;;;;;8;1;0
5977.298;128a9a8765efdce0;128a9a8765efdfe0;memcpyHtoD;0.768;5.987;;;;;;;;;;8;1;0
6068.381;128a9a8765f141c0;128a9a8765f144c0;memcpyHtoD;0.768;5.559;;;;;;;;;;8;1;0
6159.037;128a9a8765f2a400;128a9a8765f2a700;memcpyHtoD;0.768;5.559;;;;;;;;;;8;1;0
